File,Satisfiable,Time (s)
a917b02a7c31e74c8ccf8b8f001abf37-1-ZC-512-K-67.sanitized.out,UNKNOWN,3584.26
6543793076c30fc7cdfa5a3c819cedc7-oisc-subrv-sll-nested-11.out,UNSATISFIABLE,1972.64
24bdfb34654b1aa703fae31ea91e7c7f-tseitin_d3_n158.sanitized.out,UNKNOWN,3585.16
e99e266b422513a2898c13898a1de501-rbsat-v760c43649gyes9.out,SATISFIABLE,73.73
18c0eb461bda29214bd43b84199a3b61-cliquecolouring_n31_k5_c4.sanitized.out,UNKNOWN,3583.72
52aaf653a79ca14fa1127cda32aa94ce-noL-11-10.sanitized.out,SATISFIABLE,503.05
61069e0e3339af80000b774a041b7d96-constraints_18_0.3_2.sanitized.out,UNSATISFIABLE,414.29
e067414e153ee98a7842bd6d6dafeee5-af-synthesis_stb_50_200_0_sat.out,SATISFIABLE,919.67
09d7add3bf3b75c5d1023a92e752989a-Break_unsat_04_03.xml.out,UNSATISFIABLE,0.02
db15a85651e0d941a11bf8640625edd8-mdp-32-11-sat.out,UNKNOWN,3584.24
3184e52e950ac39095a801c418f68d50-mdp-28-10-unsat.out,UNSATISFIABLE,1163.02
695e287a447fcdd924985a6e73057a38-rbsat-v1150c84314gyes1.out,UNKNOWN,3582.51
1f44da3598ccf8bcbe9a90fb1b2f1ebd-REGRandom-K3-L3-Seed25.sanitized.out,UNSATISFIABLE,2.23
11cc532ecddfb10a47e0a869b4867c1b-Break_triple_20_36.xml.out,UNKNOWN,3582.79
f746dae2050dd4aa48bcd53e8bd897b4-ex065_25.out,SATISFIABLE,2252.86
096e485489025895cdc59887baafa08b-test_v7_r17_vr5_c1_s25451.smt2-cvc4.out,UNKNOWN,3583.01
02e4f23ed59566d343b605dc2cc30a01-REGRandom-K4-L3-Seed40.sanitized.out,UNKNOWN,3584.88
d7dbb2cba940af33b2bce37ea99b8110-6s130-opt.out,UNSATISFIABLE,71.46
7ac7fabd8c078aea420087a0c80e5563-circuit_32in32out_with_400gates_6in6out_dist64_seed1.sanitized.out,SATISFIABLE,106.31
bfadd34e71516e95d0ba2a3a8fb2ba03-pcmax-scheduling-m19-10199-62102-UNSAT.sanitized.out,UNKNOWN,3582.61
77b7f7bbf75faaee28f473b9941de103-Folkman-185-19924337.sanitized.out,SATISFIABLE,270.74
23daec2c71ce3c1e346e6042f3dc42eb-mdp-32-14-unsat.out,UNKNOWN,3584.76
334aa882de28856fc8c75885285d2a3c-HCP-446-105.out,SATISFIABLE,1943.0
b087c195e5b7bb191d3a701aa0aa8cf1-Break_unsat_14_23.xml.out,UNKNOWN,3580.16
bbfe2b27182d2ee7fefdb557f458ac9c-cliquecolouring_n21_k6_c5.sanitized.out,UNKNOWN,3582.53
6077d4e5f755124ddc84068d6ccb630f-Nb44T6.out,UNKNOWN,3580.82
16ca57f2cdffd5b0260fc771017e1f04-mdp-36-10-unsat.out,UNKNOWN,3583.64
cdd131110acc861a5a01fae6c4936c91-6g_6color_366_050_04.out,UNKNOWN,3580.75
aa9b67fd19d54ad51b93ee4ba5dc75fc-x9-10002.sat.sanitized.out,UNSATISFIABLE,353.18
a9cb77454c6cfdf4092fb304d3aae8b7-mdp-32-16-sat.out,SATISFIABLE,1117.26
2a15a30186afdad41a49c5c5366d01be-Timetable_C_392_E_62_Cl_26_S_28.out,SATISFIABLE,49.1
a5419a63d913bde0ba5bcd8a8571342f-asconhashv12_opt64_H11_M2-tBi5i1RIgRz_m0_1_U23.c.out,UNSATISFIABLE,677.83
eddd68e14d69cce7190b99f4e7abdafb-x9-10098.sat.sanitized.out,SATISFIABLE,79.96
4e366e723d75fe39bf6db9a24ffb059b-Dodecahedron-k7.out,UNKNOWN,3579.78
be6411f4784a3c879886dda807cdc607-j3037_10_mdd_b.out,SATISFIABLE,5.09
f8443057c188f6c9cfb711ff3d4aa6ff-constraints_17_0.5_2.sanitized.out,UNSATISFIABLE,141.47
170b13af977e962321c493544b2bd0a9-circuit_48in64out_with_800gates_4in4out_dist128_seed4.sanitized.out,SATISFIABLE,23.77
8b91c5bf4dfd87ffb46c5ef88a3ef1cd-lec_mult_DvW_12x11.sanitized.out,UNKNOWN,3583.43
5e1c11b77cdf3717b81b957120f0f477-x9-12001.sat.sanitized.out,SATISFIABLE,1597.23
f16b7329ef5728f722c291156b3b098e-af-synthesis_stb_50_100_9_unsat.out,UNSATISFIABLE,939.54
1427381a809c64c721838894ece6756d-shuffling-2-s25242449-of-bench-sat04-727.used-as.sat04-753.out,SATISFIABLE,42.43
d40a68825bdbcdd7642b249325a7b6a2-Folkman-180-5383714.sanitized.out,SATISFIABLE,58.41
dcf5b8224d1e0748871c83ee10067255-2dlx_ca_bp_f_liveness.out,UNKNOWN,3583.0
af750c18578d52e60472315692ad83c0-si2-b03m-m800-03.out,SATISFIABLE,6.73
04e219c640ed59dc68ea2d50493de5b5-mp1-Nb5T15.out,SATISFIABLE,193.17
7f2b4b2bde9b866b93fbfe01341213da-asconhashv12_opt64_H5_M2-xEJ8F_m0_3_U5.c.out,UNSATISFIABLE,242.81
50019e4419d48196bb4b95933a8b5030-noL-11-14.sanitized.out,SATISFIABLE,81.44
303480ca7e8322d771c94caf4ebd4e95-circuit_48in64out_with_700gates_4in4out_dist128_seed1.sanitized.out,SATISFIABLE,8.88
