File,Satisfiable_i15,Time (s)_i15,Satisfiable_i16,Time (s)_i16,Satisfiable_output_standard,Time (s)_output_standard,Satisfiable_i14,Time (s)_i14,Satisfiable_i17,Time (s)_i17,Satisfiable_i13,Time (s)_i13,Selection
30f0db845937bbda3ffde60e5ed4cb3f-Folkman-190-66337703.sanitized.out,SATISFIABLE,280.12,SATISFIABLE,523.47,SATISFIABLE,298.22,SATISFIABLE,760.98,SATISFIABLE,658.76,SATISFIABLE,386.94,Selected
3129198788f182ce6955b18aa3c7e61e-simon-r24-1.sanitized.out,SATISFIABLE,0.01,SATISFIABLE,0.01,SATISFIABLE,0.01,SATISFIABLE,0.01,SATISFIABLE,0.01,SATISFIABLE,0.01,Not Selected
3184e52e950ac39095a801c418f68d50-mdp-28-10-unsat.out,UNSATISFIABLE,1163.02,UNSATISFIABLE,859.77,UNSATISFIABLE,1196.67,UNSATISFIABLE,1161.97,UNSATISFIABLE,1043.87,UNSATISFIABLE,1067.26,Selected
31bb67fe67e57dbeb8c4819b01892588-hwmcc17miters-xits-iso-oski15a08b08s.sanitized.out,UNSATISFIABLE,8.4,UNSATISFIABLE,8.26,UNSATISFIABLE,8.43,UNSATISFIABLE,8.23,UNSATISFIABLE,7.8,UNSATISFIABLE,7.88,Not Selected
31e788a12ddc8b43ec20e77d53abaa23-pcmax-scheduling-m40-26287-324155-SAT.sanitized.out,UNKNOWN,3580.58,UNKNOWN,3583.8,UNKNOWN,3575.28,UNKNOWN,3582.9,UNKNOWN,3573.5,UNKNOWN,3580.38,Not Selected
32585e66749f42e161e94fc49fd64750-pcmax-scheduling-m26-6398-62377-UNSAT.sanitized.out,UNSATISFIABLE,251.13,UNSATISFIABLE,172.21,UNSATISFIABLE,234.53,UNSATISFIABLE,154.25,UNSATISFIABLE,180.96,UNSATISFIABLE,211.35,Selected
334aa882de28856fc8c75885285d2a3c-HCP-446-105.out,SATISFIABLE,1943.0,UNKNOWN,3583.83,SATISFIABLE,2106.82,SATISFIABLE,2546.29,SATISFIABLE,1443.66,SATISFIABLE,1652.74,Selected
34fa0922e66aee3b6f6ffe1760f459d4-f9idw.out,UNSATISFIABLE,433.89,UNSATISFIABLE,684.75,UNSATISFIABLE,388.14,UNSATISFIABLE,453.4,UNSATISFIABLE,428.65,UNSATISFIABLE,347.15,Selected
35789168b67a74985804902008251269-tseitingrid6x200_shuffled.out,UNKNOWN,3583.83,UNKNOWN,3585.37,UNKNOWN,3582.52,UNKNOWN,3580.87,UNKNOWN,3587.08,UNKNOWN,3576.55,Not Selected
3593875d75d6e836a3ac328c5426c1b5-Break_18_32.xml.out,UNKNOWN,3583.4,SATISFIABLE,2705.87,UNKNOWN,3580.78,UNKNOWN,3582.33,UNKNOWN,3584.55,UNKNOWN,3581.3,Selected
